date,iso,location,new_cases,new_deaths,new_recovered,new_active_cases,total_cases,total_deaths,total_recovered,total_active_cases,location_level,province,island,total_regencies,total_cities,total_districts,total_urban_villages,total_rural_villages,area_kmsquare,population,population_density,longitude,latitude
3/10/2020,ID-SG,Sulawesi Tenggara,1,0,0,1,1,0,0,1,Province,Sulawesi Tenggara,Sulawesi,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793
3/11/2020,ID-BA,Bali,1,1,0,0,1,1,3,-3,Province,Bali,Nusa Tenggara,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688
3/11/2020,ID-BT,Banten,0,0,8,-8,2,5,93,-96,Province,Banten,Jawa,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388
3/11/2020,ID-JK,DKI Jakarta,0,0,0,0,45,24,41,-20,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/11/2020,ID-JB,Jawa Barat,0,1,0,-1,4,2,8,-6,Province,Jawa Barat,Jawa,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083
3/11/2020,ID-JT,Jawa Tengah,2,1,1,0,3,9,9,-15,Province,Jawa Tengah,Jawa,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177
3/11/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,Riau,Sumatera,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851
3/11/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,Sulawesi Tenggara,Sulawesi,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793
3/12/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,Bali,Nusa Tenggara,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688
3/12/2020,ID-BT,Banten,0,1,2,-3,2,6,95,-99,Province,Banten,Jawa,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388
3/12/2020,ID-JK,DKI Jakarta,2,1,4,-3,47,25,45,-23,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/12/2020,ID-JB,Jawa Barat,1,0,0,1,5,2,8,-5,Province,Jawa Barat,Jawa,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083
3/12/2020,ID-JT,Jawa Tengah,0,0,0,0,3,9,9,-15,Province,Jawa Tengah,Jawa,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177
3/12/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,Riau,Sumatera,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851
3/12/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,Sulawesi Tenggara,Sulawesi,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793
3/13/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,Bali,Nusa Tenggara,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688
3/13/2020,ID-BT,Banten,1,1,0,0,3,7,95,-99,Province,Banten,Jawa,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388
3/13/2020,ID-JK,DKI Jakarta,4,1,3,0,51,26,48,-23,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/13/2020,ID-JB,Jawa Barat,4,0,1,3,9,2,9,-2,Province,Jawa Barat,Jawa,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083
3/13/2020,ID-JT,Jawa Tengah,0,0,0,0,3,9,9,-15,Province,Jawa Tengah,Jawa,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177
3/13/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,Riau,Sumatera,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851
3/13/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,Sulawesi Tenggara,Sulawesi,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793
3/14/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,Bali,Nusa Tenggara,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688
3/14/2020,ID-BT,Banten,1,0,2,-1,4,7,97,-100,Province,Banten,Jawa,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388
3/14/2020,ID-JK,DKI Jakarta,2,1,1,0,53,27,49,-23,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/14/2020,ID-JB,Jawa Barat,0,0,0,0,9,2,9,-2,Province,Jawa Barat,Jawa,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083
3/14/2020,ID-JT,Jawa Tengah,2,0,1,1,5,9,10,-14,Province,Jawa Tengah,Jawa,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177
3/14/2020,ID-KI,Kalimantan Timur,3,0,0,3,3,0,2,1,Province,Kalimantan Timur,Kalimantan,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803
3/14/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,Riau,Sumatera,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851
3/14/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,Sulawesi Tenggara,Sulawesi,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793
3/15/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,Bali,Nusa Tenggara,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688
3/15/2020,ID-BT,Banten,1,0,5,-4,5,7,102,-104,Province,Banten,Jawa,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388
3/15/2020,ID-JK,DKI Jakarta,8,3,0,5,61,30,49,-18,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/15/2020,ID-JB,Jawa Barat,0,0,2,-2,9,2,11,-4,Province,Jawa Barat,Jawa,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083
3/15/2020,ID-JT,Jawa Tengah,1,0,1,0,6,9,11,-14,Province,Jawa Tengah,Jawa,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177
3/15/2020,ID-KI,Kalimantan Timur,2,0,0,2,5,0,2,3,Province,Kalimantan Timur,Kalimantan,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803
3/15/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,Riau,Sumatera,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851
3/15/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Province,Sulawesi Tenggara,Sulawesi,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793
3/16/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,Bali,Nusa Tenggara,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688
3/16/2020,ID-BT,Banten,1,0,4,-3,6,7,106,-107,Province,Banten,Jawa,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388
3/16/2020,ID-YO,Daerah Istimewa Yogyakarta,1,0,0,1,1,0,1,0,Province,Daerah Istimewa Yogyakarta,Jawa,4,1,78,46,392,3133,3631015,1158.9,110.4448783,-7.89450185
3/16/2020,ID-JK,DKI Jakarta,2,3,0,-1,63,33,49,-19,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/16/2020,ID-JB,Jawa Barat,0,0,2,-2,9,2,13,-6,Province,Jawa Barat,Jawa,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083
3/16/2020,ID-JT,Jawa Tengah,1,0,0,1,7,9,11,-13,Province,Jawa Tengah,Jawa,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177
3/16/2020,ID-KI,Kalimantan Timur,1,0,0,1,6,0,2,4,Province,Kalimantan Timur,Kalimantan,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803
3/16/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,Riau,Sumatera,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851
3/16/2020,ID-SG,Sulawesi Tenggara,2,0,0,2,3,0,0,3,Province,Sulawesi Tenggara,Sulawesi,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793
3/17/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,Bali,Nusa Tenggara,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688
3/17/2020,ID-BT,Banten,0,1,3,-4,6,8,109,-111,Province,Banten,Jawa,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388
3/17/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,1,0,Province,Daerah Istimewa Yogyakarta,Jawa,4,1,78,46,392,3133,3631015,1158.9,110.4448783,-7.89450185
3/17/2020,ID-JK,DKI Jakarta,2,1,0,1,65,34,49,-18,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/17/2020,ID-JB,Jawa Barat,11,0,0,11,20,2,13,5,Province,Jawa Barat,Jawa,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083
3/17/2020,ID-JT,Jawa Tengah,1,0,1,0,8,9,12,-13,Province,Jawa Tengah,Jawa,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177
3/17/2020,ID-KI,Kalimantan Timur,1,0,0,1,7,0,2,5,Province,Kalimantan Timur,Kalimantan,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803
3/17/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,Riau,Sumatera,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851
3/17/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Province,Sulawesi Tenggara,Sulawesi,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793
3/17/2020,ID-SU,Sumatera Utara,1,1,0,0,1,1,0,0,Province,Sumatera Utara,Sumatera,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453
3/18/2020,ID-BA,Bali,0,0,0,0,1,1,3,-3,Province,Bali,Nusa Tenggara,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688
3/18/2020,ID-BT,Banten,0,1,1,-2,6,9,110,-113,Province,Banten,Jawa,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388
3/18/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,1,0,Province,Daerah Istimewa Yogyakarta,Jawa,4,1,78,46,392,3133,3631015,1158.9,110.4448783,-7.89450185
3/18/2020,ID-JK,DKI Jakarta,1,1,0,0,66,35,49,-18,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/18/2020,ID-JB,Jawa Barat,4,1,2,1,24,3,15,6,Province,Jawa Barat,Jawa,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083
3/18/2020,ID-JT,Jawa Tengah,3,1,0,2,11,10,12,-11,Province,Jawa Tengah,Jawa,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177
3/18/2020,ID-JI,Jawa Timur,7,1,0,6,18,33,215,-230,Province,Jawa Timur,Jawa,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579
3/18/2020,ID-KI,Kalimantan Timur,0,0,0,0,7,0,2,5,Province,Kalimantan Timur,Kalimantan,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803
3/18/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,Riau,Sumatera,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851
3/18/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Province,Sulawesi Tenggara,Sulawesi,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793
3/18/2020,ID-SU,Sumatera Utara,0,0,0,0,1,1,0,0,Province,Sumatera Utara,Sumatera,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453
3/19/2020,ID-BA,Bali,1,1,0,0,2,2,3,-3,Province,Bali,Nusa Tenggara,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688
3/19/2020,ID-BT,Banten,0,1,3,-4,6,10,113,-117,Province,Banten,Jawa,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388
3/19/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,1,0,Province,Daerah Istimewa Yogyakarta,Jawa,4,1,78,46,392,3133,3631015,1158.9,110.4448783,-7.89450185
3/19/2020,ID-JK,DKI Jakarta,2,0,1,1,68,35,50,-17,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/19/2020,ID-JB,Jawa Barat,5,1,1,3,29,4,16,9,Province,Jawa Barat,Jawa,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083
3/19/2020,ID-JT,Jawa Tengah,2,0,0,2,13,10,12,-9,Province,Jawa Tengah,Jawa,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177
3/19/2020,ID-JI,Jawa Timur,3,0,0,3,21,33,215,-227,Province,Jawa Timur,Jawa,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579
3/19/2020,ID-KI,Kalimantan Timur,0,0,0,0,7,0,2,5,Province,Kalimantan Timur,Kalimantan,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803
3/19/2020,ID-KR,Kepulauan Riau,1,1,0,0,1,1,0,0,Province,Kepulauan Riau,Sumatera,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346
3/19/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,Riau,Sumatera,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851
3/19/2020,ID-SN,Sulawesi Selatan,2,0,0,2,2,0,1,1,Province,Sulawesi Selatan,Sulawesi,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714
3/19/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Province,Sulawesi Tenggara,Sulawesi,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793
3/19/2020,ID-SU,Sumatera Utara,0,0,0,0,1,1,0,0,Province,Sumatera Utara,Sumatera,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453
3/20/2020,ID-BA,Bali,0,0,0,0,2,2,3,-3,Province,Bali,Nusa Tenggara,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688
3/20/2020,ID-BT,Banten,0,3,3,-6,6,13,116,-123,Province,Banten,Jawa,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388
3/20/2020,ID-YO,Daerah Istimewa Yogyakarta,1,0,1,0,2,0,2,0,Province,Daerah Istimewa Yogyakarta,Jawa,4,1,78,46,392,3133,3631015,1158.9,110.4448783,-7.89450185
3/20/2020,ID-JK,DKI Jakarta,5,3,1,1,73,38,51,-16,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/20/2020,ID-JA,Jambi,1,0,0,1,1,0,0,1,Province,Jambi,Sumatera,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766
3/20/2020,ID-JB,Jawa Barat,16,4,0,12,45,8,16,21,Province,Jawa Barat,Jawa,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083
3/20/2020,ID-JT,Jawa Tengah,4,0,1,3,17,10,13,-6,Province,Jawa Tengah,Jawa,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177
3/20/2020,ID-JI,Jawa Timur,9,0,0,9,30,33,215,-218,Province,Jawa Timur,Jawa,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579
3/20/2020,ID-KI,Kalimantan Timur,0,0,0,0,7,0,2,5,Province,Kalimantan Timur,Kalimantan,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803
3/20/2020,ID-KR,Kepulauan Riau,0,0,0,0,1,1,0,0,Province,Kepulauan Riau,Sumatera,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346
3/20/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,Riau,Sumatera,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851
3/20/2020,ID-SN,Sulawesi Selatan,0,0,0,0,2,0,1,1,Province,Sulawesi Selatan,Sulawesi,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714
3/20/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Province,Sulawesi Tenggara,Sulawesi,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793
3/20/2020,ID-SU,Sumatera Utara,0,0,0,0,1,1,0,0,Province,Sumatera Utara,Sumatera,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453
3/21/2020,ID-BA,Bali,0,0,0,0,2,2,3,-3,Province,Bali,Nusa Tenggara,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688
3/21/2020,ID-BT,Banten,0,0,2,-2,6,13,118,-125,Province,Banten,Jawa,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388
3/21/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,2,0,2,0,Province,Daerah Istimewa Yogyakarta,Jawa,4,1,78,46,392,3133,3631015,1158.9,110.4448783,-7.89450185
3/21/2020,ID-JK,DKI Jakarta,8,3,6,-1,81,41,57,-17,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/21/2020,ID-JA,Jambi,0,0,0,0,1,0,0,1,Province,Jambi,Sumatera,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766
3/21/2020,ID-JB,Jawa Barat,5,0,0,5,50,8,16,26,Province,Jawa Barat,Jawa,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083
3/21/2020,ID-JT,Jawa Tengah,1,1,0,0,18,11,13,-6,Province,Jawa Tengah,Jawa,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177
3/21/2020,ID-JI,Jawa Timur,9,1,0,8,39,34,215,-210,Province,Jawa Timur,Jawa,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579
3/21/2020,ID-KI,Kalimantan Timur,0,0,0,0,7,0,2,5,Province,Kalimantan Timur,Kalimantan,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803
3/21/2020,ID-KR,Kepulauan Riau,0,0,0,0,1,1,0,0,Province,Kepulauan Riau,Sumatera,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346
3/21/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,Riau,Sumatera,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851
3/21/2020,ID-SN,Sulawesi Selatan,0,0,0,0,2,0,1,1,Province,Sulawesi Selatan,Sulawesi,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714
3/21/2020,ID-SG,Sulawesi Tenggara,0,0,0,0,3,0,0,3,Province,Sulawesi Tenggara,Sulawesi,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793
3/21/2020,ID-SU,Sumatera Utara,0,0,0,0,1,1,0,0,Province,Sumatera Utara,Sumatera,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453
3/22/2020,ID-BA,Bali,0,0,0,0,2,2,3,-3,Province,Bali,Nusa Tenggara,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688
3/22/2020,ID-BT,Banten,0,2,0,-2,6,15,118,-127,Province,Banten,Jawa,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388
3/22/2020,ID-YO,Daerah Istimewa Yogyakarta,0,0,0,0,2,0,2,0,Province,Daerah Istimewa Yogyakarta,Jawa,4,1,78,46,392,3133,3631015,1158.9,110.4448783,-7.89450185
3/22/2020,ID-JK,DKI Jakarta,2,0,3,-1,83,41,60,-18,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/22/2020,ID-JA,Jambi,0,0,0,0,1,0,0,1,Province,Jambi,Sumatera,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766
